quantidade,ano,mes
46340,2019,1
44356,2019,2
47317,2019,3
49156,2019,4
51443,2019,5
49068,2019,6
50727,2019,7
50623,2019,8
48911,2019,9
101702,2019,10
49107,2019,11
46717,2019,12
48307,2020,1
44232,2020,2
44661,2020,3
32876,2020,4
33907,2020,5
36278,2020,6
41780,2020,7
41711,2020,8
41155,2020,9
41630,2020,10
43028,2020,11
40974,2020,12
41796,2021,1
40255,2021,2
43045,2021,3
45068,2021,4
49616,2021,5
49946,2021,6
49080,2021,7
48398,2021,8
46150,2021,9
46592,2021,10
48340,2021,11
49058,2021,12
47999,2022,1
46448,2022,2
49268,2022,3
49258,2022,4
52130,2022,5
48562,2022,6
51423,2022,7
54230,2022,8
49918,2022,9
48662,2022,10
47880,2022,11
53551,2022,12
48075,2023,1
45610,2023,2
53192,2023,3
48784,2023,4
52657,2023,5
51718,2023,6
53215,2023,7
55523,2023,8
49742,2023,9
55341,2023,10
52264,2023,11
51827,2023,12
50175,2024,1
49364,2024,2
54444,2024,3
58638,2024,4
59502,2024,5
55884,2024,6
58769,2024,7
59288,2024,8
57731,2024,9
58387,2024,10
53576,2024,11
53957,2024,12
