Mes,CNES_Unicos
2019-01,230
2019-02,228
2019-03,228
2019-04,227
2019-05,230
2019-06,230
2019-07,232
2019-08,234
2019-09,231
2019-10,231
2019-11,229
2019-12,229
2020-01,230
2020-02,228
2020-03,230
2020-04,229
2020-05,247
2020-06,255
2020-07,261
2020-08,257
2020-09,260
2020-10,255
2020-11,243
2020-12,245
2021-01,248
2021-02,250
2021-03,252
2021-04,256
2021-05,261
2021-06,265
2021-07,261
2021-08,260
2021-09,250
2021-10,251
2021-11,246
2021-12,246
2022-01,245
2022-02,243
2022-03,247
2022-04,246
2022-05,242
2022-06,242
2022-07,244
2022-08,242
2022-09,240
2022-10,241
2022-11,242
2022-12,241
2023-01,241
2023-02,241
2023-03,242
2023-04,242
2023-05,242
2023-06,242
2023-07,243
2023-08,244
2023-09,244
2023-10,244
2023-11,243
2023-12,245
2024-01,246
2024-02,242
2024-03,242
2024-04,242
2024-05,244
2024-06,245
2024-07,245
2024-08,242
2024-09,243
2024-10,245
2024-11,240
2024-12,236
