inicio;fim;descricao
A00;B99;Algumas doenças infecciosas e parasitárias
C00;D48;Neoplasias
D50;D89;Doenças do sangue e dos órgãos hematopoéticos e imunológicos
E00;E90;Doenças endócrinas, nutricionais e metabólicas
F00;F99;Transtornos mentais e comportamentais
G00;G99;Doenças do sistema nervoso
H00;H59;Doenças do olho e anexos
H60;H95;Doenças do ouvido e da apófise mastoide
I00;I99;Doenças do aparelho circulatório
J00;J99;Doenças do aparelho respiratório
K00;K93;Doenças do aparelho digestivo
L00;L99;Doenças da pele e do tecido subcutâneo
M00;M99;Doenças do sistema osteomuscular e do tecido conjuntivo
N00;N99;Doenças do aparelho geniturinário
O00;O99;Gravidez, parto e puerpério
P00;P96;Afecções originadas no período perinatal
Q00;Q99;Malformações congênitas, deformidades e anomalias cromossômicas
R00;R99;Sinais, sintomas e achados anormais de exames clínicos e laboratoriais
S00;T98;Lesões, envenenamentos e algumas outras consequências de causas externas
V01;Y98;Causas externas de morbidade e mortalidade
Z00;Z99;Fatores que influenciam o estado de saúde e o contato com os serviços de saúde
